# Phase 28 E5 certification matrix. GENERATED by wcore_eval_scenarios::e5_matrix — do not edit.
# Nine F28-01 dimensions x three OS families x the surfaces resolved from the candidate.
# Validated by: f28-ledger.py --check-matrix and --check-no-uncontrolled-skips
# max_surface_depth=1 cells=651
#cell_id	dimension	os	surface	criticality	applicability	skip_class	skip_evidence	activeness
unc-reparse-symlink-linux-acp	unc-reparse-symlink	linux	cmd:acp	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-agent	unc-reparse-symlink	linux	cmd:agent	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-auth	unc-reparse-symlink	linux	cmd:auth	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-backend	unc-reparse-symlink	linux	cmd:backend	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-backup	unc-reparse-symlink	linux	cmd:backup	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-cron	unc-reparse-symlink	linux	cmd:cron	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-crucible	unc-reparse-symlink	linux	cmd:crucible	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-fetch	unc-reparse-symlink	linux	cmd:fetch	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-forge	unc-reparse-symlink	linux	cmd:forge	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-gateway	unc-reparse-symlink	linux	cmd:gateway	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-image	unc-reparse-symlink	linux	cmd:image	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-init	unc-reparse-symlink	linux	cmd:init	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-mcp-serve	unc-reparse-symlink	linux	cmd:mcp-serve	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-migrate	unc-reparse-symlink	linux	cmd:migrate	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-models	unc-reparse-symlink	linux	cmd:models	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-node	unc-reparse-symlink	linux	cmd:node	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-plugin	unc-reparse-symlink	linux	cmd:plugin	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-profile	unc-reparse-symlink	linux	cmd:profile	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-project-context	unc-reparse-symlink	linux	cmd:project-context	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-self-update	unc-reparse-symlink	linux	cmd:self-update	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-session	unc-reparse-symlink	linux	cmd:session	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-setup	unc-reparse-symlink	linux	cmd:setup	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-swarm	unc-reparse-symlink	linux	cmd:swarm	standard	applicable	-	-	n/a
unc-reparse-symlink-linux-workflow	unc-reparse-symlink	linux	cmd:workflow	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-acp	unc-reparse-symlink	macos	cmd:acp	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-agent	unc-reparse-symlink	macos	cmd:agent	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-auth	unc-reparse-symlink	macos	cmd:auth	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-backend	unc-reparse-symlink	macos	cmd:backend	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-backup	unc-reparse-symlink	macos	cmd:backup	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-cron	unc-reparse-symlink	macos	cmd:cron	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-crucible	unc-reparse-symlink	macos	cmd:crucible	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-fetch	unc-reparse-symlink	macos	cmd:fetch	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-forge	unc-reparse-symlink	macos	cmd:forge	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-gateway	unc-reparse-symlink	macos	cmd:gateway	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-image	unc-reparse-symlink	macos	cmd:image	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-init	unc-reparse-symlink	macos	cmd:init	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-mcp-serve	unc-reparse-symlink	macos	cmd:mcp-serve	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-migrate	unc-reparse-symlink	macos	cmd:migrate	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-models	unc-reparse-symlink	macos	cmd:models	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-node	unc-reparse-symlink	macos	cmd:node	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-plugin	unc-reparse-symlink	macos	cmd:plugin	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-profile	unc-reparse-symlink	macos	cmd:profile	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-project-context	unc-reparse-symlink	macos	cmd:project-context	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-self-update	unc-reparse-symlink	macos	cmd:self-update	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-session	unc-reparse-symlink	macos	cmd:session	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-setup	unc-reparse-symlink	macos	cmd:setup	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-swarm	unc-reparse-symlink	macos	cmd:swarm	standard	applicable	-	-	n/a
unc-reparse-symlink-macos-workflow	unc-reparse-symlink	macos	cmd:workflow	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-acp	unc-reparse-symlink	windows	cmd:acp	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-agent	unc-reparse-symlink	windows	cmd:agent	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-auth	unc-reparse-symlink	windows	cmd:auth	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-backend	unc-reparse-symlink	windows	cmd:backend	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-backup	unc-reparse-symlink	windows	cmd:backup	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-cron	unc-reparse-symlink	windows	cmd:cron	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-crucible	unc-reparse-symlink	windows	cmd:crucible	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-fetch	unc-reparse-symlink	windows	cmd:fetch	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-forge	unc-reparse-symlink	windows	cmd:forge	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-gateway	unc-reparse-symlink	windows	cmd:gateway	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-image	unc-reparse-symlink	windows	cmd:image	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-init	unc-reparse-symlink	windows	cmd:init	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-mcp-serve	unc-reparse-symlink	windows	cmd:mcp-serve	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-migrate	unc-reparse-symlink	windows	cmd:migrate	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-models	unc-reparse-symlink	windows	cmd:models	standard	applicable	-	-	n/a
unc-reparse-symlink-windows-node	unc-reparse-symlink	windows	cmd:node	standard	applicable	-	-	n/a
